Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2014-12-15,20.595,20.75,19.6075,19.83,18.064,7934000,0.0,0.0,0.0
2014-12-16,19.55,20.7,19.34,19.3575,17.6336,10262000,0.0,0.0,0.0
2014-12-17,19.515,20.6475,19.47,20.4925,18.6675,8040400,0.0,0.0,0.0
2014-12-18,21.41,22.0275,21.1475,21.995,20.0362,9425200,0.0,0.0,0.0
2014-12-19,22.25,22.555,22.01,22.2775,20.2936,5274400,0.0,0.0,0.0
2014-12-22,22.3825,22.5975,22.285,22.5875,20.5759,3778400,0.0,0.0,0.0
2014-12-23,22.84,22.85,22.615,22.6825,20.6625,4460800,0.0,0.0,0.0
2014-12-24,22.795,22.88,22.6825,22.7075,20.6853,1291600,0.0,0.0,0.0
2014-12-26,22.8725,23.045,22.8475,22.91,20.8697,2223200,0.0,0.0,0.0
2014-12-29,22.825,23.075,22.815,22.995,20.9472,2677600,0.0,0.0,0.0
2014-12-30,22.815,22.8825,22.595,22.625,20.6101,3138400,0.0,0.0,0.0
2014-12-31,22.75,22.8175,21.91,21.93,19.977,4766000,0.0,0.0,0.0
2015-01-02,22.2175,22.3825,21.515,21.91,19.9588,4748800,0.0,0.0,0.0
2015-01-05,21.5075,21.58,20.615,20.735,18.8884,7138400,0.0,0.0,0.0
2015-01-06,20.86,21.0375,19.85,20.1625,18.3669,9798400,0.0,0.0,0.0
2015-01-07,20.645,21.0125,20.46,20.9125,19.0501,7011600,0.0,0.0,0.0
2015-01-08,21.435,22.09,21.415,22.025,20.0635,7421200,0.0,0.0,0.0
2015-01-09,22.1625,22.1675,21.235,21.465,19.5534,8158000,0.0,0.0,0.0
2015-01-12,21.515,21.5825,20.7475,20.9625,19.0957,7129600,0.0,0.0,0.0
2015-01-13,21.43,21.835,20.31,20.775,18.9249,10916400,0.0,0.0,0.0
2015-01-14,20.0275,20.475,19.7075,20.405,18.5878,11448400,0.0,0.0,0.0
2015-01-15,20.6375,20.7625,19.8125,19.855,18.0868,11251200,0.0,0.0,0.0
2015-01-16,19.77,20.6825,19.6975,20.6,18.7654,7074400,0.0,0.0,0.0
2015-01-20,20.8475,20.9575,20.1775,20.7425,18.8953,5662000,0.0,0.0,0.0
2015-01-21,20.575,21.2375,20.4225,21.065,19.189,6768400,0.0,0.0,0.0
2015-01-22,21.34,22.05,20.8275,21.995,20.0362,9117600,0.0,0.0,0.0
2015-01-23,21.885,22.0,21.5875,21.6275,19.7014,6044400,0.0,0.0,0.0
2015-01-26,21.57,21.8275,21.285,21.7975,19.8563,3482800,0.0,0.0,0.0
2015-01-27,21.0,21.3625,20.6125,20.9225,19.0592,9183200,0.0,0.0,0.0
2015-01-28,21.3625,21.4125,20.06,20.105,18.3145,8742800,0.0,0.0,0.0
2015-01-29,20.175,20.77,19.6875,20.67,18.8292,6866800,0.0,0.0,0.0
2015-01-30,20.22,20.725,19.8,19.8975,18.1255,9065200,0.0,0.0,0.0
2015-02-02,20.09,20.655,19.415,20.6075,18.7723,6718400,0.0,0.0,0.0
2015-02-03,20.9575,21.515,20.8175,21.4975,19.583,7803600,0.0,0.0,0.0
2015-02-04,21.205,21.685,21.095,21.265,19.3712,6949200,0.0,0.0,0.0
2015-02-05,21.5125,21.97,21.5,21.925,19.9724,5912000,0.0,0.0,0.0
2015-02-06,22.04,22.2675,21.53,21.71,19.7766,6533600,0.0,0.0,0.0
2015-02-09,21.4275,21.75,21.285,21.4275,19.5193,5257600,0.0,0.0,0.0
2015-02-10,21.825,22.2025,21.495,22.105,20.1364,4913600,0.0,0.0,0.0
2015-02-11,22.06,22.325,21.795,22.1575,20.1842,4178800,0.0,0.0,0.0
2015-02-12,22.47,22.81,22.3975,22.775,20.7467,4485200,0.0,0.0,0.0
2015-02-13,22.825,23.085,22.7375,23.0825,21.0269,4304400,0.0,0.0,0.0
2015-02-17,22.9525,23.2475,22.85,23.1825,21.118,2864400,0.0,0.0,0.0
2015-02-18,23.0275,23.21,22.9225,23.19,21.1248,2683600,0.0,0.0,0.0
2015-02-19,22.9525,23.27,22.8875,23.1475,21.0861,2597200,0.0,0.0,0.0
2015-02-20,22.9575,23.5625,22.715,23.5525,21.455,5070000,0.0,0.0,0.0
2015-02-23,23.4525,23.5425,23.2925,23.5425,21.4459,2275600,0.0,0.0,0.0
2015-02-24,23.5125,23.815,23.395,23.735,21.6213,3018400,0.0,0.0,0.0
2015-02-25,23.675,23.8775,23.5425,23.67,21.562,2923600,0.0,0.0,0.0
2015-02-26,23.64,23.695,23.3425,23.5825,21.4823,2834800,0.0,0.0,0.0
2015-02-27,23.55,23.6425,23.3275,23.3425,21.2637,2372800,0.0,0.0,0.0
2015-03-02,23.3825,23.8,23.3625,23.7825,21.6645,2714400,0.0,0.0,0.0
2015-03-03,23.61,23.645,23.1375,23.485,21.3935,4570400,0.0,0.0,0.0
2015-03-04,23.225,23.2775,22.83,23.195,21.1293,3907200,0.0,0.0,0.0
2015-03-05,23.325,23.3825,23.065,23.255,21.184,2823200,0.0,0.0,0.0
2015-03-06,22.905,23.0825,22.145,22.2775,20.2936,6672400,0.0,0.0,0.0
2015-03-09,22.3425,22.6875,22.3125,22.5525,20.5441,2712800,0.0,0.0,0.0
2015-03-10,22.0075,22.0425,21.455,21.4575,19.5466,6690800,0.0,0.0,0.0
2015-03-11,21.5525,21.6175,21.2725,21.2975,19.4008,4090800,0.0,0.0,0.0
2015-03-12,21.53,22.1375,21.52,22.125,20.1546,4315600,0.0,0.0,0.0
2015-03-13,22.0,22.0625,21.3075,21.7,19.7675,7766400,0.0,0.0,0.0
2015-03-16,21.985,22.6025,21.9725,22.5875,20.5759,4949600,0.0,0.0,0.0
2015-03-17,22.2675,22.5075,22.0525,22.37,20.3778,4714400,0.0,0.0,0.0
2015-03-18,22.1875,23.435,21.9375,23.175,21.1111,7736800,0.0,0.0,0.0
